Airdrie,ab-12
Athabasca,ab-10
Banff,ab-49
Barrhead,ab-2
Beaverlodge,ab-57
Bow Island,ab-43
Bow Valley (Provincial Park),ab-42
Breton,ab-36
Brooks,ab-58
Calgary,ab-52
Calgary (Olympic Park),ab-61
Camrose,ab-18
Canmore,ab-3
Cardston,ab-64
Claresholm,ab-60
Cochrane,ab-1
Cold Lake,ab-23
Coronation,ab-59
Crowsnest,ab-17
Drayton Valley,ab-48
Drumheller,ab-62
Edmonton,ab-50
Edmonton (Int'l Aprt),ab-71
Edson,ab-72
Elk Island (National Park),ab-63
Esther,ab-67
Fort Chipewyan,ab-28
Fort McMurray,ab-20
Garden Creek,ab-65
Grande Cache,ab-45
Grande Prairie,ab-31
Hendrickson Creek,ab-37
High Level,ab-24
High River,ab-4
Highvale,ab-68
Hinton,ab-14
Jasper,ab-70
Kananaskis (Nakiska Ridgetop),ab-34
Lac La Biche,ab-32
Lacombe,ab-39
Lethbridge,ab-30
Lloydminster,ab-15
Medicine Hat,ab-51
Mildred Lake,ab-33
Milk River,ab-19
Nordegg,ab-38
Okotoks,ab-11
Onefour,ab-35
Peace River,ab-25
Pincher Creek,ab-46
Rainbow Lake,ab-21
Red Deer,ab-29
Red Earth Creek,ab-40
Rocky Mountain House,ab-16
Slave Lake,ab-54
Stavely,ab-44
Stettler,ab-5
Stony Plain,ab-22
Strathmore,ab-6
Suffield,ab-47
Sundre,ab-53
Taber,ab-7
Three Hills,ab-69
Vauxhall,ab-27
Vegreville,ab-26
Wainwright,ab-55
Waterton Park,ab-66
Westlock,ab-8
Wetaskiwin,ab-9
Whitecourt,ab-56
Willow Creek (Provincial Park),ab-41
100 Mile House,bc-7
Abbotsford,bc-81
Agassiz,bc-70
Atlin,bc-67
Bella Bella,bc-94
Bella Coola,bc-18
Blue River,bc-22
Burns Lake,bc-43
Cache Creek,bc-55
Campbell River,bc-19
Cassiar,bc-6
Castlegar,bc-21
Chetwynd,bc-23
Chilliwack,bc-24
Clearwater,bc-12
Clinton,bc-91
Comox,bc-61
Courtenay,bc-92
Cranbrook,bc-77
Creston,bc-26
Dawson Creek,bc-25
Dease Lake,bc-14
Dome Creek,bc-8
Esquimalt,bc-40
Estevan Point,bc-15
Fort Nelson,bc-83
Fort St. John,bc-78
Gibsons,bc-1
Golden,bc-34
Gonzales Point,bc-32
Good Hope Lake,bc-9
Grand Forks,bc-39
Gulf Islands (Southern),bc-93
Hope,bc-36
Hope Slide,bc-31
Invermere,bc-72
Kamloops,bc-45
Kelowna,bc-48
Kitimat,bc-30
Kootenay (National Park),bc-11
Liard River,bc-87
